0195153448,1,1
0195153448,2,1
0195153448,3,0
0195153448,4,1
0195153448,5,1
0002005018,1,1
0002005018,2,1
0002005018,3,1
0002005018,4,0
0002005018,5,1
0060973129,1,1
0060973129,2,1
0060973129,3,0
0060973129,4,1
0060973129,5,1
0374157065,1,1
0374157065,2,1
0374157065,3,1
0374157065,4,1
0374157065,5,0
0393045218,1,1
0393045218,2,1
0393045218,3,1
0393045218,4,1
0393045218,5,1
0399135782,1,1
0399135782,2,1
0399135782,3,1
0399135782,4,0
0399135782,5,1
0425176428,1,1
0425176428,2,1
0425176428,3,1
0425176428,4,1
0425176428,5,1
0671870432,1,0
0671870432,2,1
0671870432,3,1
0671870432,4,0
0671870432,5,1
0679425608,1,0
0679425608,2,1
0679425608,3,1
0679425608,4,1
0679425608,5,1
074322678X,1,1
074322678X,2,0
074322678X,3,1
074322678X,4,0
074322678X,5,1
0771074670,1,0
0771074670,2,1
0771074670,3,1
0771074670,4,1
0771074670,5,1
080652121X,1,0
080652121X,2,1
080652121X,3,1
080652121X,4,1
080652121X,5,0
0887841740,1,0
0887841740,2,1
0887841740,3,0
0887841740,4,1
0887841740,5,1
1552041778,1,0
1552041778,2,1
1552041778,3,1
1552041778,4,1
1552041778,5,0
1558746218,1,0
1558746218,2,1
1558746218,3,0
1558746218,4,1
1558746218,5,1
1567407781,1,1
1567407781,2,1
1567407781,3,1
1567407781,4,1
1567407781,5,1
1575663937,1,1
1575663937,2,0
1575663937,3,1
1575663937,4,1
1575663937,5,1
1881320189,1,1
1881320189,2,1
1881320189,3,1
1881320189,4,1
1881320189,5,1
0440234743,1,1
0440234743,2,1
0440234743,3,0
0440234743,4,1
0440234743,5,1
0452264464,1,1
0452264464,2,1
0452264464,3,1
0452264464,4,1
0452264464,5,0
0609804618,1,1
0609804618,2,1
0609804618,3,1
0609804618,4,1
0609804618,5,0
1841721522,1,0
1841721522,2,1
1841721522,3,1
1841721522,4,1
1841721522,5,1
1879384493,1,1
1879384493,2,1
1879384493,3,0
1879384493,4,0
1879384493,5,1
0061076031,1,1
0061076031,2,1
0061076031,3,0
0061076031,4,0
0061076031,5,1
0439095026,1,1
0439095026,2,1
0439095026,3,0
0439095026,4,1
0439095026,5,1
0689821166,1,0
0689821166,2,1
0689821166,3,1
0689821166,4,1
0689821166,5,1
0971880107,1,1
0971880107,2,0
0971880107,3,1
0971880107,4,1
0971880107,5,0
0345402871,1,0
0345402871,2,1
0345402871,3,1
0345402871,4,0
0345402871,5,1
0345417623,1,1
0345417623,2,1
0345417623,3,0
0345417623,4,1
0345417623,5,1
0684823802,1,1
0684823802,2,0
0684823802,3,1
0684823802,4,1
0684823802,5,0
0375759778,1,1
0375759778,2,1
0375759778,3,0
0375759778,4,1
0375759778,5,1
0425163091,1,1
0425163091,2,0
0425163091,3,1
0425163091,4,1
0425163091,5,1
3404921038,1,1
3404921038,2,1
3404921038,3,1
3404921038,4,1
3404921038,5,1
3442353866,1,1
3442353866,2,0
3442353866,3,0
3442353866,4,1
3442353866,5,1
3442410665,1,1
3442410665,2,0
3442410665,3,1
3442410665,4,0
3442410665,5,1
3442446937,1,0
3442446937,2,1
3442446937,3,0
3442446937,4,1
3442446937,5,1
0375406328,1,1
0375406328,2,1
0375406328,3,0
0375406328,4,1
0375406328,5,1
0446310786,1,0
0446310786,2,1
0446310786,3,1
0446310786,4,1
0446310786,5,1
0449005615,1,1
0449005615,2,1
0449005615,3,1
0449005615,4,1
0449005615,5,1
0060168013,1,0
0060168013,2,0
0060168013,3,1
0060168013,4,1
0060168013,5,1
038078243X,1,1
038078243X,2,1
038078243X,3,1
038078243X,4,1
038078243X,5,0
055321215X,1,0
055321215X,2,1
055321215X,3,1
055321215X,4,0
055321215X,5,1
067176537X,1,1
067176537X,2,1
067176537X,3,1
067176537X,4,1
067176537X,5,0
0061099686,1,1
0061099686,2,1
0061099686,3,1
0061099686,4,0
0061099686,5,0
0553582909,1,0
0553582909,2,1
0553582909,3,1
0553582909,4,1
0553582909,5,1
0671888587,1,1
0671888587,2,1
0671888587,3,0
0671888587,4,1
0671888587,5,1
0553582747,1,1
0553582747,2,1
0553582747,3,1
0553582747,4,1
0553582747,5,1
0425182908,1,1
0425182908,2,1
0425182908,3,1
0425182908,4,0
0425182908,5,1
042518630X,1,1
042518630X,2,0
042518630X,3,0
042518630X,4,1
042518630X,5,1
0440223571,1,1
0440223571,2,1
0440223571,3,0
0440223571,4,1
0440223571,5,1
0812523873,1,1
0812523873,2,0
0812523873,3,1
0812523873,4,1
0812523873,5,1
0842342702,1,1
0842342702,2,1
0842342702,3,1
0842342702,4,1
0842342702,5,0
0440225701,1,1
0440225701,2,0
0440225701,3,1
0440225701,4,1
0440225701,5,1
0060914068,1,1
0060914068,2,1
0060914068,3,1
0060914068,4,1
0060914068,5,0
0156047624,1,0
0156047624,2,0
0156047624,3,1
0156047624,4,1
0156047624,5,0
0245542957,1,1
0245542957,2,1
0245542957,3,0
0245542957,4,1
0245542957,5,1
0380715899,1,1
0380715899,2,1
0380715899,3,1
0380715899,4,1
0380715899,5,1
0553280333,1,1
0553280333,2,1
0553280333,3,1
0553280333,4,1
0553280333,5,1
0961769947,1,0
0961769947,2,1
0961769947,3,1
0961769947,4,1
0961769947,5,1
0964778319,1,1
0964778319,2,1
0964778319,3,1
0964778319,4,1
0964778319,5,1
0671623249,1,1
0671623249,2,1
0671623249,3,1
0671623249,4,1
0671623249,5,1
0679810307,1,1
0679810307,2,1
0679810307,3,1
0679810307,4,0
0679810307,5,0
0679865691,1,1
0679865691,2,1
0679865691,3,1
0679865691,4,1
0679865691,5,1
2070423204,1,1
2070423204,2,0
2070423204,3,1
2070423204,4,0
2070423204,5,1
0345260317,1,1
0345260317,2,1
0345260317,3,1
0345260317,4,1
0345260317,5,1
0394743741,1,0
0394743741,2,2
0394743741,3,1
0394743741,4,0
0394743741,5,1
042511774X,1,1
042511774X,2,1
042511774X,3,1
042511774X,4,0
042511774X,5,1
0804106304,1,1
0804106304,2,1
0804106304,3,1
0804106304,4,1
0804106304,5,1
1853262404,1,1
1853262404,2,1
1853262404,3,1
1853262404,4,1
1853262404,5,1
0312970242,1,0
0312970242,2,1
0312970242,3,1
0312970242,4,0
0312970242,5,1
1853260053,1,0
1853260053,2,1
1853260053,3,0
1853260053,4,1
1853260053,5,0
1414035004,1,1
1414035004,2,0
1414035004,3,0
1414035004,4,0
1414035004,5,0
0060938412,1,1
0060938412,2,0
0060938412,3,1
0060938412,4,1
0060938412,5,1
0140067477,1,0
0140067477,2,1
0140067477,3,1
0140067477,4,1
0140067477,5,1
0345465083,1,1
0345465083,2,0
0345465083,3,1
0345465083,4,0
0345465083,5,0
